Nombre del recurso,Academia/Instituto,Archivos,Descripción del recurso,Efecto panico,Función del mensaje,Idioma que enseña,Link,Material Base,Número,Subítem,Texto,Tipo de palabra,Tipo de recurso,Tipo de signo,descripción del signo,ítem principal
Vivienda,Academia Yige,vivienda.png,"La imagen muestra una página de un libro o material educativo. La parte superior izquierda tiene un fondo naranja con texto en blanco y caracteres chinos. Debajo, hay una sección con un fondo blanco y un título en naranja que dice ""La vivienda"" con caracteres chinos. La parte inferior izquierda tiene texto en español y chino sobre un fondo gris claro, con palabras destacadas en naranja y verde. La parte derecha de la imagen es una fotografía de una calle estrecha con edificios de colores pastel y persianas cerradas, y una bicicleta apoyada en una pared. Los colores predominantes son el naranja, el blanco, el gris claro, el negro, el verde y los tonos pastel de los edificios.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),211,,,Lugares,Foto,Icono,,
Vivienda,Academia Yige,vivienda3.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior izquierda, hay texto en español y chino que dice ""En parejas, mirad estas viviendas e imaginad qué tipo de personas viven en ellas."" En la parte derecha, hay una fotografía grande de una casa de madera roja con un porche y una chimenea de piedra, ubicada en un paisaje seco. Debajo de esta casa, hay una cuadrícula de cuatro fotografías más pequeñas de interiores y exteriores de viviendas: una cocina moderna, un dormitorio rosa, una sala de estar con chimenea y un dormitorio con cama grande. En la esquina inferior derecha, hay una fotografía de una casa moderna con piscina. Los colores predominantes son el blanco, el rojo, el marrón, el azul, el rosa, el verde y los tonos de los interiores y exteriores de las casas.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),212,,,Lugares,Foto,Icono,,
Viviendas y casas,Academia Yige,vivienda2.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay texto en español y chino que dice ""¿Sabes cómo se llaman en español estos tipos de viviendas y casas?"". Debajo, hay una serie de cinco fotografías numeradas de diferentes tipos de viviendas: un interior moderno con escaleras, una casa unifamiliar, un conjunto de casas adosadas, un ático con vigas de madera y un edificio de apartamentos alto. Los colores predominantes son el blanco, el gris, el marrón, el beige, el rojo y el azul del cielo.",Si,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),213,,"La oracion hace referencia a viviendas y casas, pero tambien muestra interiores, que si bien son parte de casas, podrian denotarse con otra palabra",Lugares,Foto,Icono,,
Tan/Mas/Menos,Academia Yige,adjetivo2.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay texto en español y chino que dice ""Observa y escribe ejemplos como los propuestos."" La página está dividida en varias secciones con ilustraciones de personas y espacios para escribir. La sección superior izquierda muestra una pareja de pie, y debajo hay ejemplos de oraciones comparativas en español y chino. La sección superior derecha tiene dos ilustraciones de parejas con fondos de color rosa y naranja, y espacios para escribir. La sección inferior izquierda tiene tres ilustraciones de parejas con fondos de color verde claro y rosa, y espacios para escribir. La parte inferior derecha tiene un recuadro azul con texto en español y chino sobre el uso de comparativos. Los colores predominantes son el blanco, el rosa, el naranja, el verde claro, el azul y los tonos de las ilustraciones de las personas.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),214,,,Adjetivos,Ilustración,índice,El mensaje requiere de inferir las caracteristicas de los personajes en las imagenes basados en su apariencia,
Feria del libro,Academia Yige,adjetivos.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español y chino que dice ""La clase"" y ""Esta es mi familia. Han ido a la Feria del Libro. Describe a cada uno con las palabras que te damos."" La mayor parte de la imagen es una ilustración de varias personas en lo que parece ser una feria del libro, con estanterías llenas de libros. Algunas personas están leyendo o mirando libros. Debajo de algunas figuras, hay nombres escritos en cursiva: ""Antonio"", ""María"", ""Paula"", ""Alfredo"" y ""Andrés"". En el lado derecho de la imagen, hay una columna de texto en español con palabras que parecen ser adjetivos. Los colores predominantes son el blanco, el naranja, el marrón, el rosa, el azul, el verde y los tonos de piel de las personas.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),215,,,Adjetivos,Ilustración,índice,El mensaje requiere de inferir las caracteristicas de los personajes en las imagenes basados en su apariencia,
Todos los días lo mismo,Academia Yige,habitos.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay una franja naranja con texto en español que dice ""La casa"" y ""Todos los días lo mismo"". Debajo, hay instrucciones en español y chino que dicen ""Lee lo que hace Paco cada día y ordena los dibujos añadiendo las horas."" La página está llena de ilustraciones que representan la rutina diaria de una persona, como comer, salir de casa, estudiar, ducharse, viajar en autobús y despertarse. Cada ilustración tiene un espacio en blanco para escribir la hora. En el lado izquierdo, hay un párrafo de texto en español que describe la rutina de Paco con horas específicas. Los colores predominantes son el blanco, el naranja, el marrón, el azul, el rojo y los tonos de las ilustraciones.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),216,,,Habitos,Ilustración,Icono,,
Tomás,Academia Yige,habitos2.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay texto en español y chino que dice ""Observa estos dibujos y escribe qué hace normalmente Tomás."" La página contiene una serie de seis ilustraciones que representan diferentes momentos del día de una persona, con la hora indicada en un recuadro rosa en la parte superior de cada ilustración. Las ilustraciones muestran a la persona despertándose, abriendo una persiana, saliendo de casa, comiendo, entrando a un edificio y bostezando. Debajo de cada ilustración, hay un espacio en blanco para escribir. Los colores predominantes son el blanco, el rosa, el azul, el verde claro, el marrón y los tonos de piel de la persona.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),217,,,Habitos,Ilustración,índice,El mensaje requiere inferir el concepto de acuerdo a las horas,
Tareas,Academia Yige,habitos5.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay una franja naranja con texto en español que dice ""Tareas"". Debajo, hay texto en español y chino que dice ""Silvia y Esther han ido de compras. Escucha lo que dicen."" La parte izquierda de la imagen contiene un diálogo entre Esther y Silvia, con sus nombres en naranja y azul, respectivamente. La parte derecha de la imagen es una fotografía de una mujer joven con cabello rubio, sosteniendo un par de pantalones de mezclilla azules en una mano y una prenda de vestir estampada en la otra. Los colores predominantes son el blanco, el naranja, el azul, el gris, el rosa y los tonos de piel de la mujer.",Si,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),218,,Porque la tipa está a patas peladas comprando,Habitos,Foto,Icono,,
¿Y tú qué haces normalmente?,Academia Yige,habitos3.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay texto en español y chino que dice ""¿Y tú qué haces normalmente? Contesta a las siguientes preguntas."" Debajo, hay una lista numerada de ocho preguntas en español sobre la rutina diaria y las vacaciones. En el lado izquierdo de la imagen, hay una fotografía de una taza de café y un plato con ensalada. En el lado derecho, hay una serie de fotografías de personas realizando diferentes actividades, como viajar en autobús y conversar en una mesa. En la parte inferior, hay más texto en español y chino que dice ""Ahora pregunta a tu compañero y contesta a lo que él te pregunte."" Los colores predominantes son el blanco, el marrón, el verde, el rojo y los tonos de las fotografías.",Si,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),219,,Las oraciones que se sipone esten significando las imagenes no parecen tener relacion con estas. tambien cafe con ensalada?????,Habitos,Foto,índice,"Hay que inferir el concepto, el cual corresponderia a un habito, a partir de la observacion de las imagenes ",
"¿Que me pasa, doctor?",Academia Yige,cosas5.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""¿Qué me pasa, doctor?"". Debajo, hay instrucciones en español y chino que dicen ""Escribe el nombre de las partes del cuerpo en su lugar correspondiente."" La mayor parte de la imagen es una fotografía de una mujer sonriendo, vestida con ropa deportiva, en una pose activa. Varias líneas se extienden desde diferentes partes de su cuerpo hacia recuadros en blanco, donde se deben escribir los nombres de esas partes. En el lado izquierdo, hay una lista de partes del cuerpo en español. En la parte inferior izquierda, hay un recuadro azul con texto en español y chino. Los colores predominantes son el blanco, el naranja, el azul, el negro, el gris y los tonos de piel de la mujer.",Si,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),220,,Es la relacion de la frase de arriba ¿Que me pasa doctor? y la tipa que se ve muy sana,Conceptos,Ilustración,Icono,,
Habitación,Academia Yige,cosas4.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""Carlos nos cuenta cómo es su habitación. Escucha y señala los objetos que oigas mencionar."" La mayor parte de la imagen está dedicada a una serie de ilustraciones numeradas de objetos que se encuentran en una habitación, como una pila de libros, una cama, un armario, un televisor, un sillón, un teléfono, un ordenador portátil, bolígrafos, un cuadro, un escritorio y una lámpara. Varias líneas conectan estos objetos, sugiriendo un flujo o relación. En la parte inferior izquierda, hay un plano de una habitación con texto en español y chino que dice ""Vuelve a escuchar y coloca los objetos en la habitación."" Los colores predominantes son el blanco, el naranja, el azul, el rojo, el marrón, el gris y los tonos de los objetos ilustrados.",Si,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),221,,"Si el concepto es habitacion, no necesariament todas las imagenes podrian representarla. además porque hay un plano vacio?",Cosas,Foto,Icono,,
Dentro/Debajo/Sobre,Academia Yige,cosas3.png,"La imagen muestra una serie de tres fotografías sobre un fondo blanco, cada una con una frase descriptiva debajo. La primera fotografía muestra un estuche rosa con lunares blancos lleno de rotuladores de colores y una regla. La frase debajo dice ""Los rotuladores están dentro del estuche."" La segunda fotografía muestra una regla de madera con un sacapuntas rojo encima. La frase debajo dice ""La regla está debajo del sacapuntas."" La tercera fotografía muestra una pila de libros y cuadernos sobre una mesa de madera, con una silla oscura al fondo. La frase debajo dice ""Los libros están sobre la mesa."" Los colores predominantes son el blanco, el rosa, el rojo, el verde, el azul, el amarillo, el marrón y el negro.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),222,,,Cosas,Foto,Icono,,
Encima/Delante/Al lado,Academia Yige,cosas2.png,"La imagen muestra una serie de tres fotografías sobre un fondo blanco, cada una con una frase descriptiva debajo. La primera fotografía muestra una goma de borrar bicolor (rojo y azul) sobre una superficie de madera clara. La frase debajo dice ""La goma de borrar está encima de la mesa."" La segunda fotografía muestra una mochila a cuadros (azul y marrón) junto a una pizarra verde. La frase debajo dice ""La mochila está delante de la pizarra."" La tercera fotografía muestra un cuaderno en espiral, un bolígrafo y una taza de café sobre una superficie de madera. La frase debajo dice ""El bolígrafo está al lado del café."" Los colores predominantes son el blanco, el rojo, el azul, el marrón, el verde y el negro.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),223,,,Cosas,Foto,Icono,,
La casa,Academia Yige,La_casa.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""La casa"". Debajo, hay instrucciones en español y chino que dicen ""Escribe las palabras que faltan."" La mayor parte de la imagen es un plano de una casa que muestra la cocina, el baño y el garaje. Varias líneas se extienden desde diferentes objetos dentro de la casa hacia recuadros en blanco, donde se deben escribir los nombres de esos objetos. Algunos objetos ya tienen su nombre escrito, como ""horno"", ""lavadora"", ""espejo"", ""bidé"", ""cocina"", ""garaje"" y ""baño"". En la parte inferior derecha, hay un recuadro amarillo con texto en español. Los colores predominantes son el blanco, el naranja, el azul, el gris, el verde y los tonos de los objetos ilustrados.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),224,,,Cosas,Ilustración,Icono,,
Saludo formal,Academia Yige,Saludo_Formal.png,"• Encabezado ""Tú/usted"" en color púrpura
• Números ""4"" y ""8"" en recuadros naranjas
• Instrucción en español y chino: ""Mira el dibujo y lee el diálogo""
• Ilustración principal con tres personajes en una oficina:
    ◦ Hombre sentado con traje burdeos y documentos rosados
    ◦ Mujer de pie con cabello azul y traje gris
    ◦ Hombre de pie con traje azul y cabello rojizo
Los personajes mantienen un diálogo formal con globos de texto:
• ""Buenos días, señor Rodríguez. ¿Qué tal está?""
• ""Muy bien, gracias, ¿y usted?""
• ""Encantado""
• ""Bien. Mire, este es el señor Alonso, el nuevo director de Recursos Humanos""
• ""Mucho gusto""
El fondo es verde pálido con siluetas de edificios, usando una paleta de colores pastel.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),225,,,Saludo Formal,Ilustración,Icono,,
Saludo informal,Academia Yige,Saludo_informal.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español y chino que dice ""Escucha y lee."" La mayor parte de la imagen es una ilustración de un grupo de personas en lo que parece ser una fiesta o reunión social. Hay varias burbujas de diálogo con conversaciones en español entre los personajes. En la parte inferior derecha, hay un ejercicio con texto en español y chino que dice ""Completa estas presentaciones."" y varias frases incompletas con nombres de celebridades. Los colores predominantes son el blanco, el naranja, el marrón, el rosa, el azul, el verde, el negro y los tonos de piel de las personas.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),226,,,Saludo Informal,Ilustración,Icono,,
Profesiones,Academia Yige,profesiones.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""Las profesiones. Observa esta viñeta y fíjate en las profesiones."" La mayor parte de la imagen es una ilustración de una calle con varios edificios que representan diferentes profesiones, como una oficina, un taller, un bar, una comisaría, un hospital, un parque de bomberos, un colegio y un supermercado. Dentro de cada edificio, hay personajes que se presentan con su nombre. En el lado derecho de la imagen, hay una sección con preguntas en español sobre lo que hace cada personaje y una lista de profesiones. Los colores predominantes son el blanco, el naranja, el azul, el rojo, el marrón, el gris y los tonos de los edificios y los personajes.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),227,,,Profesión/ocupación,Ilustración,índice,requiere de analizar los elementos contextuales de las ilustraciones para inferir las profesiones,
En el mercado,Academia Yige,lugares.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""el mercado"". Debajo, hay instrucciones en español y chino que dicen ""Este es el mercado de mi barrio. Observa la viñeta y escribe el nombre de los productos."" La mayor parte de la imagen es una ilustración de un mercado dividido en secciones: ultramarinos, panadería, carnicería, pescadería y frutería. Cada sección contiene ilustraciones de diferentes productos, y varias líneas se extienden desde los productos hacia recuadros en blanco, donde se deben escribir sus nombres. Los colores predominantes son el blanco, el naranja, el azul, el marrón, el verde, el rojo y los tonos de los alimentos ilustrados.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),228,,,Lugares,Ilustración,Icono,,
¡Nos vamos de vacaciones!,Academia Yige,latam.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y una franja naranja en la parte superior. En la franja naranja, hay texto en español que dice ""¡Nos vamos de vacaciones!"". La mayor parte de la imagen es un mapa de América Latina con los nombres de los países. En el lado derecho, hay instrucciones en español y chino que dicen ""¿Conoces los países latinoamericanos? Escucha a estas personas que nos hablan de sus países y señala en el mapa."" y ""Ahora, elige un país y dile a tu compañero dónde está y cómo es."" Debajo del mapa, hay una serie de ilustraciones de elementos culturales o geográficos asociados con la región, como café, tequila, puros, los Andes, telenovelas, playas y el Amazonas. En la parte inferior derecha, hay instrucciones en español y chino que dicen ""Relacionad las imágenes con los países del mapa."" Los colores predominantes son el blanco, el naranja, el verde claro del mapa, el azul y los tonos de las ilustraciones.",Si,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),229,,"hay un monton de cosas que no se sienten bien representadas, como la pampa, que ocupa a una persona sin ningun ptro contexto. que es lo que representan las novelas exactamente? no estaran siendo un poco racistas aqui?",Paises,Ilustración,Simbolo,Los paises son definidos por las costumbres tradicionales que tienen,
Día de la madre,Academia Yige,Diadelamadre.png,"La imagen muestra una ilustración de una niña pequeña entregando un regalo a una mujer, presumiblemente su madre. La niña tiene el pelo oscuro recogido en dos moños y lleva una camiseta blanca y pantalones azules. La mujer tiene el pelo oscuro recogido y lleva una camiseta rosa y pantalones azules. Detrás de ellas, hay una forma abstracta de color naranja. Debajo de la ilustración, hay un recuadro amarillo con el texto ""Día de la Madre"". En la parte inferior de la imagen, hay una frase en español que dice ""Ej.: En el mes de mayo se celebra el Día de la Madre. Es el primer domingo de mayo."" Los colores predominantes son el blanco, el naranja, el rosa, el azul, el amarillo y el negro.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),230,,,Familia/amigos,Ilustración,Icono,,
Lavo la ropa?,Academia Yige,lavo.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay un recuadro naranja con texto en español que dice ""Ana está muy ocupada este fin de semana. César va a ayudarla con las tareas de la casa. Mira los dibujos y construye las frases y las respuestas como en el ejemplo."" Debajo, hay dos ilustraciones. La primera muestra a un hombre metiendo ropa en una lavadora, con una burbuja de diálogo que dice ""¿Lavo la ropa?"". La segunda ilustración muestra a una mujer planchando, con una burbuja de diálogo que dice ""Sí, lávala."". Los colores predominantes son el blanco, el naranja, el azul, el morado, el rojo, el negro y los tonos de piel de las personas.",No,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),231,,,Verbos,Ilustración,Icono,,
Las fiestas,Academia Yige,festividades2.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior izquierda, hay un recuadro naranja con texto en español y caracteres chinos que dice ""Maneras de VIVIR"". Debajo, hay un recuadro blanco con un título en naranja que dice ""Las fiestas"" con caracteres chinos. La mayor parte de la imagen es una fotografía de cuatro jóvenes sonriendo y conversando. Hay dos burbujas de diálogo vacías con líneas para escribir. En la parte inferior, hay texto en español y chino que dice ""Estos amigos hablan de las navidades. Escucha atentamente y escribe qué hacen en cada país."" Los colores predominantes son el blanco, el naranja, el gris, el azul y los tonos de piel de las personas.",Si,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),232,,ese grupo de amigos no parece estar en ninguna fiesta,Expresión Fática,Foto,índice,El mensaje nos indica que la conversacion entre las personas es sobre las fiestas,
Me duele todo,Academia Yige,malestar1.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco y un título en gris que dice ""duele todo"". Debajo, hay instrucciones en español y chino que dicen ""Observa los dibujos. ¿Qué le duele a Carlos? Después, escucha y comprueba."" La página contiene cuatro ilustraciones que muestran a un hombre, presumiblemente Carlos, experimentando diferentes dolores: dolor de espalda, dolor de pies, dolor de muelas y dolor de estómago. Cada ilustración tiene un espacio en blanco al lado para escribir. Los colores predominantes son el blanco, el gris, el marrón, el negro y los tonos de piel de los personajes.",No,Anclaje,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),233,,,Conceptos,Ilustración,índice,Los gestos del personaje indican dolor,
Sentimientos,Academia Yige,sentimientos2.png,"La imagen muestra una página de un libro o material educativo con un fondo blanco. En la parte superior, hay texto en español y chino que dice ""Escucha y escribe cómo se sienten estas personas."" Debajo, hay una serie de cinco círculos de colores con iconos blancos que representan diferentes conceptos relacionados con el bienestar: yoga, dormir, comer saludablemente, ejercicio y salud del corazón. A la derecha de los círculos, hay cuatro líneas numeradas para escribir. Los colores predominantes son el blanco, el naranja, el verde, el azul, el morado, el rojo y el gris.",Si,Relevo,Español,http://audio.yuyueheiguan.com/test/新版.走遍西班牙1.学生用书.pdf,Nuevo sueña (libro del alumno),234,,demasiados posible significantes,Conceptos,Ícono/simbolo,Icono,,
Lección 14,Academia Yige,IMG_5686.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. La página está dividida en varias secciones, cada una con una ilustración en blanco y negro y un párrafo de texto. Las ilustraciones muestran diferentes escenas de la vida diaria: una chico cepillándose los dientes, una clase en la universidad, un grupo de estudiantes almorzando y una persona estudiando. El texto describe estas actividades, mencionando horarios y detalles. Los colores predominantes son el blanco y el negro de las ilustraciones y el texto.",Si,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,235,,"La universidad no parece universidad, sino que un colegio",Habitos,Ilustración,Icono,,
Libros y periódicos,Academia Yige,IMG_5644.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español y chino. En la parte superior, dice ""LECCIÓN 6"" y ""5. Los libros y periódicos"". En el centro de la página, hay una ilustración en blanco y negro de varios libros y periódicos apilados. En la parte inferior, hay un título en chino y español que dice ""VIII. 请译成西班牙语 (Traduce al español):"" seguido de un párrafo en chino. Los colores predominantes son el blanco y el negro de las ilustraciones y el texto.",No,Anclaje,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,236,,,Cosas,Ilustración,Icono,,
En la biblioteca,Academia Yige,IMG_5699.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, dice ""EN LA BIBLIOTECA"" y ""I"". En el centro de la página, hay una ilustración en blanco y negro de una biblioteca, donde una persona está atendiendo a otra en un mostrador, y al fondo se ven personas leyendo. Debajo de la ilustración, hay un párrafo de texto en español que describe la escena, mencionando que es martes, las nueve de la mañana, y que muchos lectores van a la Biblioteca de Beijing. También menciona que hay novelas, periódicos y revistas, y que la gente puede leerlos. En la parte inferior izquierda, hay un número de página ""168"". Los colores predominantes son el blanco y el negro de las ilustraciones y el texto.",No,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,237,,,Lugares,Ilustración,Icono,,
¿Cuántos son y cuántos años tienen?,Academia Yige,IMG_5638.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, dice ""TEXTO"" y ""¿CUÁNTOS SON Y CUÁNTOS AÑOS TIENEN?"". En el centro de la página, hay una ilustración en blanco y negro de una familia, que incluye a una pareja mayor, una pareja más joven con un bebé, y dos niños. En la parte inferior derecha, hay un número de página ""85"". Los colores predominantes son el blanco y el negro de las ilustraciones y el texto.",Si,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,238,,El icono muestra a una familia pero el mensaje no menciona al respecto,Familia/amigos,Ilustración,Icono,,
¿Donde trabajan los mecanicos?,Academia Yige,mecanico.png,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, hay una pregunta que dice ""7. ¿Dónde trabajan los mecánicos?"". Debajo de la pregunta, hay una ilustración en blanco y negro de un mecánico trabajando en lo que parece ser un motor o una máquina. El mecánico lleva una gorra y está concentrado en su tarea. Los colores predominantes son el blanco y el negro de la ilustración y el texto.",No,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,239,,,Profesión/ocupación,Ilustración,Icono,,
Mi infancia,Academia Yige,IMG_5655.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, hay un título en chino y español que dice ""TEXTO"" y ""MI INFANCIA"". Debajo, hay una fotografía en blanco y negro de un paisaje rural con árboles, un campo y lo que parece ser un río o un cuerpo de agua. Sobre el agua hay una persona navegando. Los colores predominantes son el blanco y los tonos de gris de la fotografía y el texto.",No,Anclaje,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,240,,,Conceptos,Foto,índice,La fotografia es indice de una infancia vivida,
¿Con quien van a hablar los profesores?,Academia Yige,IMG_5704.jpg.png,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, hay una pregunta que dice ""8. ¿Con quién van a hablar los profesores?"". Debajo de la pregunta, hay una ilustración en blanco y negro que muestra a dos grupos de personas. A la izquierda, hay tres adultos que parecen ser profesores, caminando. A la derecha, hay cuatro jóvenes, presumiblemente estudiantes, conversando. Los colores predominantes son el blanco y el negro de la ilustración y el texto.",No,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,241,,,Profesión/ocupación,Ilustración,índice,Se puede inferir que personajes son los estudiantes en contraste con los personajes que son profesores,
La casa,Academia Yige,IMG_5669.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, hay un título en chino y español que dice ""TEXTO"" y ""LA CASA"". Debajo, hay una ilustración en blanco y negro de una casa con un jardín, un garaje y una piscina. Los colores predominantes son el blanco y el negro de la ilustración y el texto.",No,Anclaje,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,242,,,Lugares,Ilustración,Icono,,
¿Como explica la profesora?,Academia Yige,comoexplicalaprofesora.jpg,"La imagen muestra una página de un libro con un fondo blanco y texto en español. En la parte superior, hay una pregunta que dice ""10. ¿Explica la profesora los textos en chino o en español?"". Debajo de la pregunta, hay una ilustración en blanco y negro de una profesora gesticulando, como si estuviera explicando algo en un aula. Los colores predominantes son el blanco y el negro de la ilustración y el texto.",No,Relevo,Español,Espaol_Moderno_I_-_%E7%8E%B0%E4%BB%A3%E8%A5%BF%E7%8F%AD%E7%89%99%E8%AF%AD_%E7%AC%AC%E4%B8%80%E5%86%8C_()_(Z-Library).pdf,Español Moderno,243,,,"Interrogación, Profesión/ocupación",Ilustración,Icono,,
